[ 2023-12-06 21:15:23,373 ] Warning: Setting a new default format with a different version or profile after the global shared context is created may cause issues with context sharing.
[ 2023-12-06 21:15:24,621 ] Using spritesheet cache size of 910
[ 2023-12-06 21:15:27,114 ] Client is started for first the time.
[ 2023-12-06 21:15:27,351 ] Asset loading complete
[ 2023-12-06 21:15:31,712 ] The source list for Content Security Policy directive 'script-src' contains an invalid source: ''wasm-unsafe-eval''. It will be ignored.
[ 2023-12-06 21:15:32,085 ] The source list for Content Security Policy directive 'script-src' contains an invalid source: ''wasm-unsafe-eval''. It will be ignored.
[ 2023-12-06 21:15:32,457 ] The source list for Content Security Policy directive 'script-src' contains an invalid source: ''wasm-unsafe-eval''. It will be ignored.
[ 2023-12-06 21:15:32,458 ] The source list for Content Security Policy directive 'script-src' contains an invalid source: ''wasm-unsafe-eval''. It will be ignored.
[ 2023-12-06 21:16:43,081 ] BattlEye: "Initialized (v1.249)"
[ 2023-12-06 21:16:43,081 ] BattlEye: "Config entry: GameID tibia"
[ 2023-12-06 21:16:43,081 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-12-06 21:16:43,156 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Hellquiver" )
[ 2023-12-06 21:16:43,156 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Collabra"
[ 2023-12-06 21:16:43,169 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Collabra"
[ 2023-12-06 21:16:43,548 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Collabra"
[ 2023-12-06 21:16:43,606 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Collabra" established
[ 2023-12-06 21:16:47,083 ] BattlEye: "Server computed GUID: 49a1e995532d9fd2ed0efab7d02b42bd"
[ 2023-12-08 20:02:00,308 ] Warning: Setting a new default format with a different version or profile after the global shared context is created may cause issues with context sharing.
[ 2023-12-08 20:02:01,566 ] Using spritesheet cache size of 910
[ 2023-12-08 20:02:03,889 ] Asset loading complete
[ 2023-12-08 20:02:38,700 ] BattlEye: "Initialized (v1.249)"
[ 2023-12-08 20:02:38,700 ] BattlEye: "Config entry: GameID tibia"
[ 2023-12-08 20:02:38,700 ] BattlEye: "Config entry: MasterPort 7171"
